https://docs.google.com/spreadsheets/d/e/2PACX-1vRwKwEe01e0RZlUh2JicVjJsISlaxlWZQNYzfUgrYqa8QfKxn0JLPF5tLrbOikyH2P2ElU_qVSYjbLq/pub?output=csvID,Jednostka ,Województwo,Powiat,Marka,Rok produkcji,Status,Inne,Rejestracja,Zdjęcie
459M38,OSP Chynów,Mazowieckie,Grójecki,Scania P360,,czynny,-,W1OGIEN,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770074072/464932309_8575903522486937_341831082593677490_n_vgktzh.jpg
459M39,OSP Chynów,Mazowieckie,Grójecki,Mercedes-Benz 1017,1981,wycofany ze służby,-,WGR13PE,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770073038/463902628_8525630897514200_721620359912575123_n_hawlrs.jpg
459M39,OSP Chynów,Mazowieckie,Grójecki,Scania P410 XT,,czynny,-,W1WODA,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770073994/dsc-0647-1280x768_b2to37.jpg
459M42,OSP Chynów,Mazowieckie,Grójecki,Daewoo Lublin 3,2000,wycofany ze służby,-,WGRE266,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770073565/462712085_8470673369676620_2279686544495990662_n_x2itja.jpg
459M42,OSP Chynów,Mazowieckie,Grójecki,Opel Vivaro,,czynny,-,,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770074357/149180632_3707664562644215_1072287406059061267_n_j0ixtu.jpg
459M43,OSP Chynów,Mazowieckie,Grójecki,Nissan Terrano,1997,wycofany ze służby,-,WGR98R1,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770073329/jjjj_wbsazq.jpg
489M38,OSP Chynów,Mazowieckie,Grójecki,Mercedes-Benz 1124,1994,wycofany ze służby,-,WGR7T83,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770073782/462733238_8470673356343288_8482225163103206837_n_wajel3.jpg
567M60,OSP Czaplinek,Mazowieckie,Piaseczyński,Star 1142 ,1997,wycofany ze służby,Wóz trafił na przetarg - Dawniej wóz należał do OSP Wojciechowice,WPI9KJ8,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770070347/zdjecie_1_ncrowi.jpg
567M67,OSP Wojciechowice,Mazowieckie,Piaseczyński,Volkswagen T4,1992,wycofany ze służby,-,WPI1KL4,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770071812/518180801_30753570077567467_8523996376274985768_n_jhk0dc.jpg
569M65,OSP Wojciechowice,Mazowieckie,Piaseczyński,Star 1142 ,1997,przeniesiony,przeniesiony do OSP Czaplinek,WPI9KJ8,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770068992/515084460_30705314785726330_2676927778106312268_n_tjbe25.jpg
569M65,OSP Wojciechowice,Mazowieckie,Piaseczyński,Scania P360,2015,czynny,-,WPI45998,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770070563/476798992_28831685019755992_2797950675085607759_n_koun3x.jpg
569M66,OSP Wojciechowice,Mazowieckie,Piaseczyński,Man LE,2004,czynny,Dawniej wóz należał do JRG nr. 17 w Warszawie,WPI9998J,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770054942/359482855_655474923278981_7871746157132217214_n-1_zs7zz3.jpg
569M66,OSP Wojciechowice,Mazowieckie,Piaseczyński,Star 200,1988,wycofany ze służby,-,WSD615C,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770070835/81799228_3645437935474048_8181918634524803072_n_fo4zc8.jpg
569M67,OSP Wojciechowice,Mazowieckie,Piaseczyński,Fiat Ducato,2008,czynny,dawniej wóz należał do Inspekcji Transportu Drogowego w Gdańsku,WPI4717E,https://res.cloudinary.com/drgyoq1i0/image/upload/v1770072329/173171843_5615943161756839_7827112936707693576_n_hmxg8p.jpg
